mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	fdr	bonferroni	homl	BY
hsa-miR-193a-3p	0,42029524511394367	0,906955458280794	2,6381712646977777	0,34378187285149303	0,7310103336377287	1	1	1	1
hsa-miR-194-5p	432,34798329624783	-0,017883618787081765	0,14856732417889204	-0,12037383648067757	0,9041870161431862	1	1	1	1
hsa-miR-195-5p	42,08631429123022	-0,2194060934720293	0,30192356762954226	-0,7266941603619324	0,46741333154300496	1	1	1	1
hsa-miR-195-3p	0,6049764331520294	0,27249138007800017	1,7844076595076488	0,15270691012007065	0,8786294111961092	1	1	1	1
hsa-miR-206	2,395686384805855	-2,218506760191336	1,2583789113475112	-1,7629878728782018	0,0779025350354643	1	1	1	1
hsa-miR-320a-5p	1,3813867181410715	-1,3977066701919538	0,9782627747388585	-1,4287640358850038	0,15307206560001824	1	1	1	1
hsa-miR-320a-3p	872,2383226759974	-0,012182827662335678	0,13015441918538448	-0,09360287371405467	0,9254246267457488	1	1	1	1
hsa-miR-200c-3p	446,37596053032564	0,0773417388215068	0,1108324116484758	0,6978260029819573	0,4852860151956803	1	1	1	1
hsa-miR-155-5p	94,10701896396803	0,369305296124067	0,40626626267655797	0,909022801182197	0,3633380901938042	1	1	1	1
hsa-miR-194-3p	1,875900668438076	-0,14182175296851895	1,0159662617738687	-0,1395929749880664	0,888981591421252	1	1	1	1
hsa-miR-106b-5p	10,144957029852312	-0,15329481802358366	0,39222735142621123	-0,39083153550147726	0,6959217633006529	1	1	1	1
hsa-miR-106b-3p	3,785039647623122	-0,39492721963523875	0,5713409477736814	-0,69122862832453	0,48942187567429185	1	1	1	1
hsa-miR-29c-5p	10,121051894447152	0,28698866951969904	0,5175806592235652	0,5544810541224964	0,5792496682262578	1	1	1	1
hsa-miR-29c-3p	2,8520455777308373	0,5643099449428948	0,7247278103565606	0,7786508767550379	0,436185400416646	1	1	1	1
hsa-miR-200a-5p	1,7144096442839771	-0,7651560198973344	1,1184210627679343	-0,6841394939430783	0,49388708503573303	1	1	1	1
hsa-miR-200a-3p	7,822850794532287	0,8974751765154999	0,4928210206353431	1,8210975971732661	0,06859202248118286	1	1	1	1
