mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-539-5p	0.267341002477863	-1.2799096801004963	3.042092755905862	-0.42073328553697237	0.673949852555876	1
hsa-miR-539-3p	0.3582157180851932	2.013846479455046	2.2353015750579255	0.9009283140700418	0.3676264357174866	1
hsa-miR-92b-5p	21.25114954681764	-0.3170063020089724	0.29108318225934293	-1.0890574286993093	0.27612856146978	1
hsa-miR-92b-3p	252.14840431693125	0.1410681188107896	0.19885812199167915	0.7093907827244407	0.4780820060374011	1
hsa-miR-573	3.050791390606055	-0.6017872195147616	0.7623307506708293	-0.7894043615388805	0.42987570752619997	1
hsa-miR-574-5p	335.8230392865664	0.2697283362647542	0.13110201534297772	2.0573927529574147	0.03964846168930914	1
hsa-miR-574-3p	9.646972978715791	0.17619029101279576	0.370461920770185	0.47559622496827386	0.6343620653366889	1
hsa-miR-576-3p	0.5788863590533357	0.5556342061554356	1.7346884564297493	0.3203077786653487	0.7487350270272364	1
hsa-miR-582-5p	2.880507184647415	0.832208523745341	0.745174903687337	1.1167962308276045	0.2640814608114144	1
hsa-miR-582-3p	0.8204547230968321	1.1735671706958117	1.8046296850372785	0.6503091356781983	0.5154925571168023	1
hsa-miR-584-5p	7.323188747285521	0.17076107599204665	0.5084072862929939	0.33587456473556015	0.7369654583418224	1
hsa-miR-584-3p	3.5972623705310043	0.7204262519890106	0.6065890191654713	1.1876678100440285	0.23496431064520645	1
hsa-miR-589-5p	509.44167387742397	-0.0582203255568211	1.0961069695077674	-0.05311555092379926	0.9576398410979157	1
hsa-miR-589-3p	1.2727135616265681	-1.329403276519876	1.3067748116982187	-1.017316269504958	0.30900299938693293	1
hsa-miR-550a-5p	2.2583246935404557	0.3926873544681724	0.7906057821920165	0.4966917309653566	0.6194064545125111	1
hsa-miR-550a-3p	0.44547773618580394	-0.7128194076474211	1.9685607521644144	-0.36210180806646824	0.7172759525607457	1
hsa-miR-598-3p	0.6837026741299097	0.5299622983038269	1.6985930989226792	0.3120007367508745	0.7550399634179183	1
hsa-miR-615-3p	8.695034197158964	0.6721059731765167	0.426207345923148	1.5769460090387746	0.11480794874485911	1
hsa-miR-619-5p	42.37140488019249	-0.06271889693023204	0.4663052101972389	-0.13450181460272134	0.8930057762830759	1
hsa-miR-622	0.3378195871970943	0.86912490115505725	2.6761171029048456	0.3247708780051695	0.7453544867620328	1
hsa-miR-625-3p	0.4732498528883517	0.45496005547543567	1.813952088522685	0.25081150618810627	0.8019598452189864	1
hsa-miR-628-5p	0.455892730691012	-1.7409005117322136	1.5862099707741417	-1.0975221085532427	0.27241322157634806	1
hsa-miR-628-3p	1.085719192935709	-1.8422842709753426	1.3269492221370054	-1.3883607904818	0.1650272096284982	1
hsa-miR-629-5p	0.42131901612835737	-2.0016916370494635	2.572660978622164	-0.7780627349202872	0.43653203013546266	1
hsa-miR-629-3p	1.117117722359996	1.0159405433408295	1.2586623566743302	0.8071589159345113	0.41957493222676073	1
hsa-miR-636	0.5895366875488817	-2.1400419490130576	1.5340782734598635	-1.3950017975201108	0.16301529751294436	1
hsa-miR-641	3.002915969260657	-0.2574300712607703	0.6411398080411456	-0.40151940034309885	0.6880377576578495	1
hsa-miR-642a-5p	0.25402485426421206	-0.3040412136413278	4.234274027822865	-0.07180480328942163	0.9427572502181784	1
hsa-miR-642a-3p	0.3887065247269628	-2.3357568271419913	2.8899465518892384	-0.8082353030422109	0.41895513847653	1
hsa-miR-652-5p	37.50532173176913	0.3093113856915478	0.26591272892986023	1.1632063908198047	0.24474577423555774	1
